model_name,execution_time,cost,word_count,color_mentions,artistic_context,object_identification,detailed_description,efficiency_score,cost_efficiency_score,quality_score,composite_score
gemini-2.0-flash,2.4675,0.00085625,46.0625,1.0,0.5,0.6875,1.0,0.9470618034447822,1.0,0.7924187219730942,0.9010860298226724
pixtral-12b-2409,2.336875,0.0009,47.25,0.875,0.5625,0.625,1.0,1.0,0.9513888888888888,0.7714125560538116,0.8939816890881913
mistral-small-latest,2.54875,0.00088125,45.3125,1.0,0.5,0.5,1.0,0.9168710152035312,0.9716312056737589,0.7523963004484304,0.8675091864425593
mistral-medium-latest,4.956875,0.0009625,57.3125,0.8125,0.5625,0.625,1.0,0.4714411801790443,0.8896103896103896,0.7927550448430493,0.7254174888740499
gemini-2.5-flash-preview,4.7775,0.00105625,56.6875,1.0,0.5625,0.625,1.0,0.48914181057038203,0.8106508875739645,0.8281530269058296,0.7211990202056358
pixtral-large-latest,6.203999999999999,0.0009733333333333333,59.46666666666667,0.9333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.37667230818826575,0.879708904109589,0.8533333333333333,0.7182476970226898
gpt-4o-vision,5.453125,0.0048375,50.25,0.9375,0.4375,0.6875,1.0,0.4285386819484241,0.1770025839793282,0.7815022421524663,0.49426327663931224
llava-1.5-7b,6.445,0.005,46.3125,0.875,0.3125,0.5,1.0,0.3625872769588829,0.17125,0.6932595291479821,0.4374549947468577
blip-2,3.444375,0.006,4.75,0.0,0.3125,0.3125,0.0,0.6784612592995827,0.14270833333333333,0.14097533632286996,0.3027410123190228
blip,5.803125,0.0046,11.375,0.125,0.375,0.375,0.0,0.4026925148088315,0.1861413043478261,0.2132567264573991,0.2619528363299569
